# Manually maintained mapping of IATA airport codes and timezones such that:
#
# 1) Every timezone is associated with at least one airport code.
# 2) An airport code is associated with only a single timezone.
# 3) Some timezones may be associated with multiple airports.
#
# The airport codes were assigned using the following guidelines:
#
# 1) Use the well-known 3-letter IATA code if available.
# 2) Use the 4-letter ICAO code if IATA code is not assigned.
# (e.g. BGDH at Danmarkshavn Airport, Greenland).
# 3) Use the sentinel "0000" if no airport exists near the town/region. This
# makes it impossible to select one of these timezones using an airport code.
# Fortunately, most of these are small villages or towns which chose to use a
# different DST rule than the rest of the larger region for various regions.

# airport timezone
MNM America/Menominee # Menominee Regional Airport, USA
MID America/Merida # Manuel Crescencio Rejon International Airport, Mexico
ANN America/Metlakatla # Annette Island Airport, USA
MEX America/Mexico_City # Mexico City International Airport, Mexico
MQC America/Miquelon # Miquelon Airport, St Pierre & Miquelon
YQM America/Moncton # Greater Moncton Romeo LeBlanc International Airport, Canada
MTY America/Monterrey # Monterrey International Airport, Mexico
MVD America/Montevideo # Carrasco/General Cesareo L. Berisso International Airport, Uruguay
YUL America/Montreal # Montreal-Trudeau International Airport, Canada
MNI America/Montserrat # John A. Osborne Airport, Montserrat
NAS America/Nassau # Lynden Pindling International Airport, Bahamas
JFK America/New_York # John F. Kennedy International Airport, USA
0000 America/Nipigon # Canada
OME America/Nome # Nome Airport, USA
FEN America/Noronha # Governador Carlos Wilson Airport, Brazil
KHZE America/North_Dakota/Beulah # Mercer County Regional Airport, USA
0000 America/North_Dakota/Center # USA
0000 America/North_Dakota/New_Salem # USA
GOH America/Nuuk # Nuuk Airport, Greenland
0000 America/Ojinaga # Mexico
PTY America/Panama # Tocumen International Airport, Panama
YXP America/Pangnirtung # Pangnirtung Airport, Canada
PBM America/Paramaribo # Johan Adolf Pengel International Airport, Suriname
PHX America/Phoenix # Phoenix Sky Harbor International Airport, USA
PAP America/Port-au-Prince # Toussaint Louverture International Airport, Haiti
POS America/Port_of_Spain # Piarco International Airport, Trinidad & Tobago
RBR America/Porto_Acre # Rio Branco-Placido de Castro International Airport, Brazil
PVH America/Porto_Velho # Porto Velho-Governador Jorge Teixeira de Oliveira International Airport, Brazil
SJU America/Puerto_Rico # Luis Munoz Marin International Airport, Puerto Rico
PUQ America/Punta_Arenas # Presidente Carlos Ibanez International Airport, Chile
0000 America/Rainy_River # Rainy River Water Aerodrome, Canada
YRT America/Rankin_Inlet # Rankin Inlet Airport, Canada
REC America/Recife # Recife/Guararapes-Gilberto Freyre International Airport, Brazil
YQR America/Regina # Regina International Airport, Canada
YRB America/Resolute # Resolute Bay Airport, Canada
RBR America/Rio_Branco # Rio Branco-Placido de Castro International Airport, Brazil
0000 America/Santa_Isabel # Baja Mexico
STM America/Santarem # Santarem-Maestro Wilson Fonseca Airport, Brazil
SCL America/Santiago # Arturo Merino Benitez International Airport, Chile
SDQ America/Santo_Domingo # Las Americas International Airport, Dominican Republic
GRU America/Sao_Paulo # Sao Paulo/Guarulhos - Governor Andre Franco Montoro International Airport, Brazil
OBY America/Scoresbysund # Ittoqqortoormiit Heliport, Greenland
0000 America/Shiprock # USA
SIT America/Sitka # Sitka Rocky Gutierrez Airport, USA
SBH America/St_Barthelemy # Gustaf III Airport, St Barthelemy
YYT America/St_Johns # St. John's International Airport, Canada
SKB America/St_Kitts # Robert L. Bradshaw Airport, St Kitts & Nevis
